SE,NewKPI1,NewKPI2,NewKPI3,KPI0012,KPI0017,KPI0068,KPI0077,KPI0116,KPI3226,TS,SI,IT,TSI,MarketArea,ReportYearNumber
0.561848239,-648.8056835,43.91844077,91.78730739,1.366205522,249.4554455,5.083333333,12452.08333,109.0833333,0.162700763,-28494.53398,4031.155423,-59552.12671,-2615436.55,Ford - Southeast,2008
1.270017332,-295.742487,142.3169522,64.19917387,1.259032657,247.9456355,4.666666667,11393.08333,85.6744186,0.155126168,-42089.16939,9136.630759,-18986.42334,-2702089.903,Ford - Southeast,2009
0.962264151,114.7,71.7,76.62592191,1.080876479,324.2298196,4.666666667,13621.66667,42.8372093,0.160881457,8223.99,5494.078601,8788.993243,630170.8155,Ford - Southeast,2011
0.597826087,75.37,91.25,-47.59525377,1.03251836,335.5609756,4.666666667,12237.83333,138.6,0.157567821,6877.5125,-4343.066907,-3587.254277,-327336.9527,Ford - Southeast,2012
0.481862821,-334.0663763,-59.44969169,111.2744157,0.938726737,129.4024481,6.833333333,13623.33333,35.2,0.101024019,19860.14308,-6615.229706,-37173.04083,2209925.816,Ford - Central,2008
1.174964397,21.36665889,138.8875804,52.03275,1.058737747,98.45126919,4.166666667,7638.25,54.57777778,0.094739055,2967.563554,7226.702749,1111.76602,154410.4925,Ford - Central,2009
0.336,-38.95,128.0429092,62.5,0.692548654,185.9033275,4.416666667,9918.833333,73.41304348,0.11302753,-4987.271313,8002.681825,-2434.375,-311704.4571,Ford - Central,2010
0.240740741,29.02,30.69,75.33,0.700312845,278.7193613,5.416666667,12715.25,87.71428571,0.096193753,890.6238,2311.8777,2186.0766,67090.69085,Ford - Central,2011
0.233480176,74.28,27.33,78.72195406,0.823555177,151.8090323,6.5,14302.91667,66,0.091117241,2030.0724,2151.471004,5847.466748,159811.2662,Ford - Central,2012
1.627274246,983.6145753,146.4838616,100.0428866,0.524838594,306.5219025,446.1666667,879697.9167,118.2990398,0.110543555,144083.6613,14654.66835,98403.64141,14414545.39,Ford - Southeast,2008
2.143958227,1177.169983,139.7537801,40.45003011,0.660224962,280.762877,227.4166667,361446.8333,111.1434879,0.110388964,164513.9549,5653.044613,47616.56126,6654594.431,Ford - Southeast,2009
1.400843882,566.3,329.58,27.35,0.480476367,328.2716708,187.3333333,662892,110.2379958,0.167465896,186641.154,9014.013,15488.305,5104635.562,Ford - Southeast,2010
1.674931129,695.25,143.14,26.38,0.785437626,359.383751,220,343689,101.1872,0.102204401,99518.085,3776.0332,18340.695,2625287.082,Ford - Southeast,2011
1.432853717,579.57,195.19,28.76,0.851125103,391.2617553,226,293024.75,138.675367,0.097772165,113126.2683,5613.6644,16668.4332,3253511.476,Ford - Southeast,2012
1.427790985,656.6037136,205.1014222,72.59194424,0.655647941,802.9892629,70.83333333,192115.3333,100.3681592,0.231570479,134670.3555,14888.711,47664.14017,9775982.936,Ford - West,2008
0.679915951,393.1693547,-142.9052333,26.63020931,0.624936289,765.4523737,61.5,264764.25,76.58494624,0.258340877,-56185.95836,-3805.596274,10470.18221,-1496243.831,Ford - West,2009
1.083126551,663.04,104.61,28.79,0.595116331,791.9113159,79,295582.9167,65.8200313,0.243144984,69360.6144,3011.7219,19088.9216,1996892.089,Ford - West,2010
1.272617612,876.45,100.15,30.41,0.596134554,959.3104088,94.75,361558.3333,69.01550388,0.228277257,87776.4675,3045.5615,26652.8445,2669282.377,Ford - West,2011
0.979667283,571.79,92.09,37.31,0.550311802,967.9925651,99.33333333,396903.8333,88.0590604,0.23075163,52656.1411,3435.8779,21333.4849,1964600.624,Ford - West,2012
1.73713182,47.61925447,-1.827311869,63.35471248,0.892951551,259.7261367,11.41666667,16086.25,25.66666667,0.131260065,-87.01522889,-115.7688181,3016.904175,-5512.824807,Ford - Northeast,2008
0.725381014,119.1865257,168.4601024,22.89688344,1.133961444,90.18832076,8.5,9078.75,97.46031746,0.088655616,20078.17432,3857.211329,2728.999987,459727.6172,Ford - Southeast,2009
0.492753623,164.11,44.96,138.3169628,1.010951241,92.8227299,11,18445.83333,33.18918919,0.107069014,7378.3856,6218.730647,22699.19677,1020555.887,Ford - Southeast,2010
0.413580247,78.8,70.44,39.64519938,1.156638494,122.3794584,8.166666667,10380.75,72.71052632,0.072529429,5550.672,2792.607844,3124.041711,220057.4981,Ford - Southeast,2011
0.564971751,110.93,72.18,177,0.944253562,118.0115215,10.58333333,16441.75,77.77777778,0.076331328,8006.9274,12775.86,19634.61,1417226.15,Ford - Southeast,2012
